Label;Id;Group;followersCount
_anthonyv5;21;3;NA
_asilisa_;83;3;NA
_ColinFay;218;2;4601
_MarZamora;162;3;NA
0ttlngr;285;2;NA
AdamGruer;135;2;NA
agalii_;201;3;NA
AgnesSchneider1;14;3;NA
aiprgirl;219;2;NA
AjitJaokar;303;2;NA
AKitsche;81;2;NA
aladinzo;99;1;NA
aleh_robot;243;3;NA
alel_domi;36;3;NA
alice_data;294;2;NA
alnisb;157;1;NA
AltunaAkalin;292;3;NA
ameisen_strasse;68;2;NA
AnahiMartin_;185;3;NA
analiita15;47;3;NA
AnalyticsPanda;316;3;NA
AnnaCaceres6;131;1;NA
annakrystalli;171;2;NA
aperianez;57;4;NA
aprettyaday;118;3;NA
ardalby71;82;1;NA
askdrstats;167;2;NA
azaleareyaguila;116;3;NA
BabbelJobs;90;3;NA
BelenSays;35;3;NA
bergautier;119;2;NA
BeST_MYM;208;3;NA
bhadra30;272;3;NA
Bigggggg_Al;12;3;NA
blog_SLR;64;2;NA
blumoestit;84;3;NA
Brankonikolic1;53;1;NA
brunoresearch;10;1;NA
bugrabalkac;241;1;NA
burak_guenhan;188;2;NA
c_southwood;187;2;NA
CaffeLinux;104;3;NA
CaLeyNu;70;1;NA
Camnicollet;152;1;NA
cantoflor_87;142;1;NA
Carlosal1015;85;3;NA
CarmeloFerrai;284;3;NA
cathelaing24;278;3;NA
CathyArnold94;132;3;NA
ceciliadolago;15;1;NA
chbergma;315;3;NA
chickTechMTL;127;1;NA
chrissyatmango;246;2;NA
ChristEd930427;19;2;NA
ChristinaLeuker;32;3;NA
ChristinZasada;173;3;NA
ClaudiaKgc;54;1;NA
clavitolo;289;1;NA
cmbosancianu;33;3;NA
codeforS;199;3;NA
corrieaar;174;4;NA
course_hour;180;2;NA
ctietze91;39;3;NA
DallasRladies;23;1;NA
daniel_vallejo;273;4;NA
darokun;179;1;NA
darwin_jurado;13;1;NA
Data_Sue_ATX;110;1;NA
data2day;43;3;NA
DataDuke;20;3;NA
